timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.?,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2022-07-04T00:00:00Z,4.56267750,4.79826493,4.40752403,4.70714129,144553728.96,4.56441298,4.80103442,4.40895328,4.70895675,88125706.88,36723,88125706,2649,594356,55794292
2022-07-03T00:00:00Z,4.52997703,4.71786373,4.47824824,4.57735788,368020448.30,4.54301730,4.73380915,4.49349393,4.59079013,83090280.74,9000,83090280,2551703,239994679,42374784
2022-07-02T00:00:00Z,4.56331571,4.65793986,4.38672208,4.54397230,388713446.42,4.57004623,4.66250685,4.39254193,4.54782873,80650395.17,25338,80650395,2622195,254131211,51284306
2022-07-01T00:00:00Z,4.65784987,4.86158884,4.38296891,4.56357434,679270504.70,4.66345508,4.86310614,4.39502287,4.57461826,153732565.30,49130,153732565,4560861,447882454,73045492
2022-06-30T00:00:00Z,4.71681742,4.78097091,4.23860455,4.65942345,771064329.35,4.73038673,4.79379992,4.25215389,4.67194960,192307954.91,53477,192307954,5364954,490638525,82699417
2022-06-29T00:00:00Z,4.93100711,5.15572007,4.63333437,4.71994003,905045968.01,4.94180860,5.16137551,4.63910771,4.72635226,232276381.48,14705,232276381,6009105,513499891,153245884
2022-06-28T00:00:00Z,5.15468557,5.61384637,4.82995533,4.94155555,1272526485.75,5.16493176,5.62163310,4.83819563,4.95292897,373900205.70,61061,373900205,9166931,711588801,177809485
2022-06-27T00:00:00Z,4.71793002,5.28937137,4.67982587,5.14653654,793372915.02,4.70934831,5.29173226,4.68160506,5.14774059,228697668.58,34354,228697668,7191024,460947442,96502425
2022-06-26T00:00:00Z,4.58114288,5.30901284,4.51479031,4.70307331,1000484809.28,4.57611324,5.29330935,4.49855760,4.68732104,307504892.59,62180,307504892,9218313,555699544,127999878
2022-06-25T00:00:00Z,4.51663100,4.70635335,4.31640529,4.58400347,422905975.76,4.51233437,4.70288103,4.31673891,4.58115575,120126723.12,12098,120126723,5345028,236051127,61370998
2022-06-24T00:00:00Z,4.40653814,4.62653355,4.34218982,4.48232376,476377708.30,4.40392532,4.60514335,4.32641905,4.46335646,134945766.75,22694,134945766,7354108,254758372,79296765
2022-06-23T00:00:00Z,3.99838448,4.50735775,3.98440984,4.40955965,506329265.22,4.00088755,4.50465304,3.98831842,4.40767958,153632296.03,28861,153632296,9313120,282556428,60798558
2022-06-22T00:00:00Z,4.41228925,4.41755208,3.96777010,3.99622414,610744677.36,4.41826747,4.42031859,3.97318312,4.00160606,177027210.49,39249,177027210,10532050,338845714,84300451
2022-06-21T00:00:00Z,4.50814202,4.87679273,4.33331352,4.40974791,848723058.75,4.51123064,4.88804652,4.33910251,4.41483723,252523621.78,87434,252523621,11969904,476702265,107439832
2022-06-20T00:00:00Z,4.14497909,4.84501530,3.86847448,4.50166545,1247250953.81,4.14991498,4.84931323,3.87616895,4.50650760,371666588.86,85975,371666588,14070590,668547969,192879829
2022-06-19T00:00:00Z,3.63757679,4.53738138,3.43066269,4.14649182,1201087869.37,3.64520460,4.54299961,3.44807057,4.15272405,302065425.50,96327,302065425,9910244,731635101,157380770
2022-06-18T00:00:00Z,3.75338998,3.87788932,3.13175389,3.63437572,926721367.90,3.76122338,3.88500874,3.14211783,3.64179152,216502509.50,41755,216502509,7372839,600486418,102317844
2022-06-17T00:00:00Z,3.38986446,3.85848273,3.35963032,3.75721686,796815772.31,3.39635940,3.86382563,3.36727410,3.76415879,155745218.07,22099,155745218,5766411,553764402,81517640
2022-06-16T00:00:00Z,4.17358675,4.30094367,3.30748296,3.38655049,878555184.12,4.17738010,4.29979339,3.31533482,3.39422568,204387188.00,49892,204387187,5693518,580737108,87687476
2022-06-15T00:00:00Z,3.62517735,4.28712528,3.07890787,4.16667522,1330095610.69,3.63096483,4.29278825,3.08985731,4.17271604,329199597.07,71624,329199597,10051880,861709111,129063397
2022-06-14T00:00:00Z,3.50057033,3.96522804,3.26705002,3.62804242,1066687747.32,3.50856759,3.96624127,3.27591055,3.63583893,239451154.04,40784,239451154,7658707,715942969,103594132
2022-06-13T00:00:00Z,3.89257556,3.99685774,3.22420585,3.50252946,1469448841.43,3.90010623,3.99160479,3.22714702,3.50945448,359092823.95,59210,359092823,9854664,924191080,176251061
2022-06-12T00:00:00Z,4.77709581,4.82501865,3.90403018,3.91953059,804571942.62,4.78767335,4.82911932,3.91212198,3.92722294,183516787.93,53665,183516787,5299756,517867997,97833735
2022-06-11T00:00:00Z,5.21712533,5.63605557,4.72105474,4.78733810,679736427.48,5.21986561,5.63506399,4.72774974,4.79324976,162226371.11,35216,162226371,4811246,431191203,81472390
2022-06-10T00:00:00Z,5.73446580,5.77068406,5.15413098,5.20948053,466600841.43,5.73158991,5.76104053,5.15116939,5.20789859,114210703.84,31361,114210703,4981515,284428820,62948441
2022-06-09T00:00:00Z,5.72662040,5.93244371,5.65778344,5.73476440,311910089.96,5.72756906,5.92567069,5.64932236,5.73004981,69745181.17,6881,69745181,1698951,198577416,41881658
2022-06-08T00:00:00Z,6.04984241,6.16454539,5.69891682,5.74674320,451693613.78,6.05063014,6.17849167,5.71729304,5.76370552,108587841.22,22930,108587841,3666778,288234434,51181630
2022-06-07T00:00:00Z,6.40532137,6.43275850,5.88402525,6.07057926,563493969.18,6.40878972,6.44273363,5.89871782,6.08137406,138946324.88,50501,138946324,5677194,345545983,73273964
2022-06-06T00:00:00Z,6.12289371,6.46746185,6.10668669,6.41226806,416191777.04,6.12540267,6.47233988,6.11318588,6.41848880,115301345.18,67532,115301345,4129181,233754617,62939100
