Date,Open,High,Low,Close,Volume,Currency
2021-04-13,70.76007843017578,71.7109146118164,70.72169494628906,71.5554428100586,6791870,USD
2021-04-14,71.5511703491211,90.5672836303711,65.6519775390625,90.5531005859375,5642845,USD
2021-04-15,90.541259765625,102.81473541259766,90.48875427246094,102.49073028564453,2528671,USD
2021-04-16,102.522705078125,102.66470336914062,84.31834411621094,84.38496398925781,2596157,USD
2021-04-17,84.3853759765625,105.63687896728516,82.74744415283203,105.42696380615234,5434709,USD
2021-04-18,105.42525482177734,107.67095184326172,99.74256134033203,99.74996185302734,2744607,USD
2021-04-19,99.7674560546875,99.78227233886719,89.5462875366211,89.55448150634766,2385615,USD
2021-04-20,89.57105255126953,89.58091735839844,79.1736831665039,79.85787200927734,3982161,USD
2021-04-21,79.85611724853516,91.47913360595703,75.19161987304688,91.44281005859375,2774124,USD
2021-04-22,91.46958923339844,91.47911071777344,69.56731414794922,79.69226837158203,5029522,USD
2021-04-23,79.67890930175781,86.94874572753906,57.99434280395508,65.68250274658203,3498858,USD
2021-04-24,65.6764907836914,69.398193359375,46.71018600463867,57.99413299560547,1493483,USD
2021-04-25,57.99064254760742,62.23768615722656,56.597900390625,58.26509094238281,644307,USD
2021-04-26,58.2773323059082,76.3273696899414,55.22256851196289,61.653350830078125,2472815,USD
2021-04-27,61.658599853515625,76.54937744140625,61.6514778137207,70.16866302490234,1413667,USD
2021-04-28,70.16729736328125,71.49272155761719,43.3661994934082,43.435001373291016,5569295,USD
2021-04-29,43.432029724121094,59.99476623535156,42.66505432128906,59.51481246948242,3271693,USD
2021-04-30,59.49850082397461,60.29984664916992,50.728492736816406,52.480533599853516,1775960,USD
2021-05-01,52.465152740478516,53.1920280456543,47.72658920288086,49.3031120300293,1034238,USD
2021-05-02,49.308895111083984,49.84427261352539,47.491668701171875,49.49110794067383,914171,USD
2021-05-03,49.49845886230469,49.49845886230469,43.44713592529297,44.82622146606445,1005472,USD
2021-05-04,44.83728790283203,45.372772216796875,43.96133041381836,45.05686569213867,362883,USD
2021-05-05,45.07294845581055,57.8370475769043,44.80933380126953,57.14862060546875,1600501,USD
2021-05-06,57.15786361694336,57.520774841308594,51.5961799621582,51.72095489501953,596095,USD
2021-05-07,51.721004486083984,51.738407135009766,46.10859298706055,46.10954284667969,322700,USD
2021-05-08,46.12440490722656,46.171630859375,44.602272033691406,44.76219177246094,453351,USD
2021-05-09,44.77290725708008,48.02974319458008,44.47663497924805,46.3061637878418,637922,USD
2021-05-10,46.3143424987793,46.497596740722656,35.33338928222656,41.13705062866211,1219861,USD
2021-05-11,41.132720947265625,41.62221908569336,38.63054656982422,40.39860153198242,412077,USD
2021-05-12,40.38719177246094,40.41700744628906,37.363887786865234,37.58341979980469,275528,USD
2021-05-13,37.57749938964844,38.056522369384766,36.91806411743164,37.284427642822266,200186,USD
2021-05-14,37.28919982910156,37.716060638427734,35.1341667175293,37.561153411865234,343948,USD
